relevance,articleid,date,headline,text
no,wsj_398610968,12-01-1997,The New Math: Are Some High P/E Stocks `Bargains'?,"Here is something investors haven't heard for a while: Coca-Cola stock is cheap.</br></br>Calling a megacapitalization blue chip trading at 38 times earnings cheap is heresy to many investors. But the fact that many strategists and even some conservative investors can now make that argument shows how the lowest interest rates in nearly two years are transforming the stock-valuation landscape.</br></br>Standard & Poor's 500-stock index trades at 23.54 times the past 12 months' earnings, not far from a record. The Dow Jones Industrial Average, which rose 28.35 to 7823.13 on Friday, is at 20.10 times earnings. Yet some strategists argue the combination of falling interest rates and still-robust earnings forecasts suggests stocks are a better value than they have been in a long time, including many high P/E blue chips like Coke.</br></br>Again, this may be a surprise to investors still jittery after the Oct. 27 stock plunge and the gyrations in global markets since then. And the same lower-rate scenario that supports the bullish argument also makes the stock market more vulnerable to higher rates than it has been in some time. But here is the bullish case:</br></br>Lower interest rates raise the present value of a company's future earnings. That is because an investor puts a higher price on future earnings if he or she will earn less in competing investments, like bonds. Furthermore, the effect accelerates the lower rates go. A drop in bond yields from 7% to 6% boosts valuations far more than the drop from 8% to 7%, a dynamic long understood by bond investors but not widely appreciated by stock investors."
no,wsj_398559248,10/17/96,Lagardere and Daewoo to Buy Thomson --- Sale by French Government Of the Troubled Firm Creates Defense Giant,"PARIS -- In a move that creates a new French defense giant and transforms South Korea's Daewoo Group into a global consumer-electronics leader, the French government decided to sell Thomson SA to France's Lagardere Groupe and its ally, Daewoo.</br></br>The deal marks a milestone for Europe's defense business, which is struggling to consolidate, and came as a surprise to those who had bet that Thomson would go to rival bidder Alcatel-Alsthom SA. The merger of Lagardere's Matra defense division with Thomson's defense arm, Thomson-CSF, will more than double its size in the defense sector and create the second-biggest weapon-systems group in the world, behind Lockheed Martin Corp. of the U.S.</br></br>It also has important ramifications in the U.S., where Thomson's consumer-electronics arm, Thomson Multimedia, is the largest single seller of TV sets, with a 20.5% market share, through the RCA and GE brands it controls. As part of the transaction, Daewoo Electronics will buy Thomson Multimedia from Lagardere for an undisclosed price. Thomson Multimedia has bled red ink, and its sale could jeopardize some of its 6,000 jobs in the U.S., although Daewoo said it has no immediate plans to reorganize the operations.</br></br>Daewoo said it will rely on existing management in Paris and outside Indianapolis, where the U.S. operations are based. However, Daewoo Electronics Chairman Bae Soon Hoon said he believes Daewoo's cost-cutting know-how will reverse recent losses at Thomson Multimedia. North America represents 64% of Thomson Multimedia's sales.</br></br>Though the sale of Thomson had set off a furious behind-the-scenes lobbying effort by both Lagardere and Alcatel, the company is by no means a prize. In fact, the government is selling Thomson for a symbolic sum of one French franc and will inject 11 billion francs ($2.1 billion) into the group before its sale to partially wipe out debts of 25 billion francs. Indeed, Thomson is in such dismal shape that shares of Alcatel, France's telecommunications giant, rose 2.4% in Paris stock-market trading on the news that its bid failed. Trading in Lagardere and Thomson-CSF was suspended yesterday."
no,wsj_398033491,10/20/87,Baker and West German Officials Agree On Changes in Group of Seven's Accord,"The U.S. and West Germany, recently feuding over monetary policy, agreed during a surprise high-level meeting to support unspecified changes in the seven-nation Louvre accord on exchange-rate and economic-policy cooperation.</br></br>Yesterday's agreement, which officials confirmed but wouldn't describe, emerged from talks in Frankfurt between Treasury Secretary James Baker and top West German officials, whom Mr. Baker has criticized recently for raising interest rates. Separately, West Germany's central bank acted yesterday to keep short-term interest rates from rising further.</br></br>In a statement after the meeting, the two countries pledged to continue February's Louvre accord, which set agreed exchange-rate levels and cooperative economic policies. But the statement noted that the pact is ""flexible,"" and the officials are said to have agreed it should be altered to accommodate different exchange rates for the dollar and mark and different understandings on monetary policy. A similar alteration was made in the pact in April after talks between the U.S. and Japan. The U.S. and West Germany yesterday said they were consulting their partners in the so-called Group of Seven about the meeting.</br></br>For several days, the Treasury chief has publicly blasted Bonn for raising interest rates after pledging to stimulate economic growth. He has threatened that the U.S. might favor lowering the officially supported dollar exchange rate against the mark unless West Germany eased monetary policy. And he has said the U.S. would refuse to follow West Germany in raising rates.</br></br>This threat alone had already caused the dollar to fall against the mark, and the U.S.-West German dispute raised fears of a breakup of the Louvre accord itself, adding to turmoil in the financial markets. In the face of yesterday's massive stock market drop, the dollar -- which fell earlier in the day in overseas trading -- rallied in late New York trading against the mark in response to news of Mr. Baker's understanding with West German officials."
no,wsj_1440371671,10-09-2013,Banks Are Urged to Work With Borrowers Hit by Shutdown; Regulators Caution Bank Examiners Against Faulting Institutions,"WASHINGTON--U.S. banks should work with borrowers at risk of missing loan payments because of the partial government shutdown, banking regulators said on Wednesday.</br></br>The regulators said the effects of the shutdown should be temporary and cautioned bank examiners against faulting institutions that make ""prudent efforts to modify terms on existing loans"" in order to ensure borrowers can stay out of default. The shutdown, which has dragged on for more than a week, has resulted in the furlough of hundreds of thousands of U.S. government workers and has limited U.S. payments to contractors and other businesses.</br></br>The regulators said borrowers affected by the shutdown should contact their lenders immediately ""should financial strain occur.""</br></br>""Affected borrowers may face a temporary hardship in making payments on debts such as mortgages, student loans, car loans, credit cards, and other debt,"" said the regulators, including the Federal Reserve, the Consumer Financial Protection Bureau, the Federal Deposit Insurance Corp., the National Credit Union Administration, and the Office of the Comptroller of the Currency. ""The agencies encourage financial institutions to consider prudent workout arrangements that increase the potential for creditworthy borrowers to meet their obligations.""</br></br>The regulators generally reserve such leniency requests for natural disasters, such as hurricanes."
no,wsj_399029738,1/19/05,Doing the Math on Private Accounts: Why Investors Will Want to Fund Them,"YOU MAY NOT LIKE the idea of Social Security private accounts. But you will almost certainly want to fund one.</br></br>I am not arguing that the partial privatization of Social Security is a good idea (I have my concerns), and I am not arguing that private accounts will fix Social Security's financial problems (they won't). But suppose Social Security is overhauled, and suppose, as many pundits expect, that we end up with a mix of traditional Social Security benefits and private accounts, as called for in ""reform model 2"" suggested by President Bush's 2001 Social Security commission.</br></br>At that point, you will face a critical decision: Should you direct part of your payroll taxes into a private account, or should you continue to put everything into the traditional Social Security system? As best I can figure, it's no contest: You should go for the private account.</br></br>Model behavior. When I sat down to analyze reform model 2, I thought I was in for some heavy-duty math, comparing potential rates of return. But in fact, the break-even rate of return is built into the model -- and it's so low it makes private accounts look awfully attractive.</br></br>With model 2, you would have the option of putting four percentage points of your payroll taxes, up to $1,000 a year, into a private account. The rest of your payroll taxes would continue to flow into the old system and eventually earn you the right to a monthly check. That check, however, would be smaller than the check you would receive if you continued fully funding the traditional system."
yes,wsj_398810644,4/14/00,"Broad Band: Nasdaq Stocks' Swings Are Unprecedented -- But Taken in Stride --- Instant News, Online Trades, Momentum Investing All Increase the Volatility --- Consumers Are Not Spooked","John Schott loaded up on biotechnology stocks last year, then watched them soar fourfold. He sold a few but held on to most -- only to see the prices cut in half in a matter of days.</br></br>His reaction: Easy come, easy go. ""All through the '90s we've tended to have these rolling crashes,"" says the 62-year-old suburban-Philadelphia investor. ""That tends to inure you to the whole thing.""</br></br>Without question, the volatility in stock prices is unprecedented. Last year, the Nasdaq Composite Index moved 2% or more on a quarter of the trading days. That was the most in the Nasdaq Stock Market's 29-year history. But this year is more volatile still: More than half of the trading days have seen the index close up or down by at least 2%. Yesterday, it swung all the way from being up 3.8% to being down 2.5% at its close of 3676.78. Even the Dow Jones Industrial Average, representing established, blue-chip stocks, is fluctuating the most it has in a decade.</br></br>Investors had better get used to it. The broad embrace of ""momentum"" investing by big and small investors alike, the growth of technology stocks that are intrinsically volatile, and the Internet's instant news and inexpensive trading all suggest that the market is becoming more susceptible to sudden surges and swoons.</br></br>How much does this volatility really matter? Clearly, that depends partly on where stocks go from here. With its 27.2% sell-off since its March 10 high, the Nasdaq Composite is in what Wall Street customarily calls a bear market, but it is still up 45.8% from 12 months ago."
no,wsj_397930009,2/26/86,Israel Has Made Aid Work,"Israel is the largest single recipient of economic aid from the U.S. This is partly because the economic stability of Israel is uncertain and is important to U.S. national interests. Therefore a report on the progress of the Israeli economy is relevant to policy decisions to be made here.</br></br>A common view, supported by some experience, is that the availability of foreign aid prevents the recipient country from taking the steps required for its own economic health. The story of Israel suggests that there may be exceptions to this dismal lesson.</br></br>On July 1, 1985, Israel introduced a radical stabilization program designed to bring the inflation rate down from 1000% to 20% a year or less. Success was swift. Within two months inflation was down to less than 4% a month; in November and December 1985 it averaged only 1% a month. But there is still a long way to go before success is assured.</br></br>The Israeli inflation rate rose by stages from 2% per annum in 1967-70 to the 1000%-per-annum area at the end of 1984. The pattern was for an inflationary shock to kick the inflation rate up to a new plateau, at which it stabilized before the next shock.</br></br>Underlying the Israeli inflation were massive budget deficits averaging 15% of gross national product for more than a decade, fueling, and fueled by, a fast-growing national debt and rapid monetary growth. At the heart of the government's budget problem is defense spending of 25% of GNP. Despite large-scale U.S. aid, the government found it increasingly difficult to borrow at home or abroad in 1984 and 1985, and was forced instead to print money. More than anything else, it was the difficulty of borrowing that forced the government to undertake the stabilization program."
no,wsj_398700465,03-06-2000,"Monthly Mutual Funds Review: Only Two Months Old, And Already 2000 Is Wild --- Market's Split Personality Makes the Highs High And the Lows Low","Average together absolute euphoria and dreary disappointment and what do you get? The 2.97% advance of the average stock mutual fund in the first two months of this year.</br></br>Behind that small gain, as calculated by Lipper Inc., lies a huge disparity in results: Some conservative stock funds favoring seemingly cheap ""value"" stocks tumbled 15% or more over the course of January and February, following a rough 1999. Meanwhile, ""growth"" funds that invest in the stocks of the fastest-growing companies continued to soar, with some gaining 40%, 50% or more in a mere 60 days.</br></br>Indeed, at a time when investors are still agog over the triple-digit returns posted last year by more than 175 funds, a few funds that specialize in the recently red-hot biotechnology sector broke the 100% barrier in just the first two months of this year. Those triple-digit gainers include specialized health/biotech offerings from the Orbitex, Nicholas-Applegate and Dresdner RCM fund families.</br></br>The stock market's split personality comes to life in the voices of mutual-fund managers at the two ends of the performance spectrum. ""It's been a wild year,"" exults Kurt von Emster, manager of the $1.5 billion-in-assets Franklin Biotechnology Discovery Fund, up 86.4% in January and February after a nearly triple-digit 97.9% gain in 1999. ""Like I tell my wife every morning, it's fun to come into work now.""</br></br>""Fun"" certainly isn't the way Tony Maramarco describes his labor as manager of the bargain-hunting Babson Value Fund, which posted a 17.4% negative return for January and February after rising a bare 1.1% last year. Mr. Maramarco quotes market strategist Thomas Galvin of Donaldson, Lufkin & Jenrette as declaring that value investing has been ""utterly abandoned"" in the marketplace. ""That's the feeling we get,"" the Babson manager says."
yes,wsj_1618164826,10/30/14,U.S. Government Bonds Gain on GDP Qualms; Headline Reading of 3.5% Growth Masks Some Underlying Concerns,"Treasury prices gained Thursday as investors kept their optimism about the U.S. economy in check despite a solid headline reading on last quarter's growth.</br></br>In late-afternoon trading, benchmark 10-year notes gained 6/32 in price to yield 2.305%. Two-year notes rose a fraction to yield 0.481%. Bond yields decline when prices rise.</br></br>Those gains came despite the U.S. reporting that gross domestic product grew 3.5% in the third quarter, surpassing expectations. Investors felt details to the report were less rosy, with typically volatile spending on defense boosting the reading, while the price index continued to show a lack of inflation.</br></br>""The internal mix of the GDP report was not as good as the headline suggests,"" said Andres de Lasa, a government bond trader at Pierpont Securities, adding that prices are reverting a bit higher after Wednesday's decline.</br></br>Mr. De Lasa said last session's declines came as investors placed new bets against Treasurys, particularly around the two- and five-year maturities, after a policy statement by the Federal Reserve showed increased optimism about the U.S. economy. While the central bank maintained that it will wait a ""considerable time"" before raising rates, for investors, the latest statement moves policy one step closer to tightening."
no,wsj_398974889,05-03-2006,Wal-Mart Tightens Work-Shift Rules,"Wal-Mart Stores Inc. has taken plenty of heat over its wages and health benefits, but many employees say they have an even bigger gripe with the world's largest retailer: their hours.</br></br>When Mona Curtis signed on 3 1/2 years ago to work at a Wal-Mart store in Hillsboro, Ohio, the 71-year-old retiree says she made it clear that weekends were out because of her duties as a foster parent and churchgoer. But when Ms. Curtis refused to work a pair of weekend shifts in June, she says a manager cut her hours in half, to just two days a week.</br></br>At a Wal-Mart supercenter in Apopka, Fla., Cora Brown, 66, says she had to fight to keep her schedule as a cashier after her husband fell ill last spring. Meanwhile, the eight-year Wal-Mart veteran says she has seen a number of co-workers quit amid tighter work-shift rules. Those who haven't quit have found themselves working more oddball shifts, she says.</br></br>""They'll call them in at 7 a.m. on Monday, 10 a.m. on Tuesday and three in the afternoon on Wednesday,"" Ms. Brown says.</br></br>Over the past year, Wal-Mart has quietly focused on tackling a tricky problem: how to improve spotty customer service while keeping a lid on its payroll, which covers 1.3 million employees in the U.S. alone. The key, management says, is to better match work shifts with the ebb and flow of customer traffic."
no,wsj_398220303,06-11-1990,World Wire,"RUBLE EXCHANGE RATE</br></br>The international exchange rate for the Soviet ruble should be made consistent with its real buying power starting July 1, Soviet Finance Minister Valentin Pavlov said in an interview with the government newspaper Izvestia.</br></br>Mr. Pavlov said the ruble exchange rate should be changed to reflect its real value before new wholesale prices are introduced in 1991. Without saying what the changed rate should be, he said a realistic ruble rate would help the government to make up losses in revenues caused by production shortfalls.</br></br>""The federal budget failed to receive three billion rubles {$4.9 billion} over the past four months,"" he said. ""If this tendency continues, the losses will have reached 10 to 12 billion rubles by the end of the year.""</br></br>Last year, the Finance Ministry established a special ruble rate for tourists, selling six rubles for one dollar. The move was an effort to slow down the thriving black market for dollars."
no,wsj_399028197,2/15/08,"Bernanke Open to a Sizable Rate Cut; Job and Housing Markets May Worsen, Posing Risks To Growth, Fed Chief Says","WASHINGTON -- Federal Reserve Chairman Ben Bernanke warned that intensifying credit and financial-market pressures are likely to restrain economic growth and left the door open for a sizable interest-rate cut next month.</br></br>Mr. Bernanke, testifying at the Senate Banking Committee, said he expects ""sluggish growth"" in the economy and a ""somewhat stronger pace"" later in the year, thanks to rate cuts and fiscal stimulus. But he cautioned that housing and labor markets could deteriorate more than anticipated, emphasizing that ""downside risks to growth remain.""</br></br>Treasury Secretary Henry Paulson, at the same hearing, said the government's recent actions -- including the $168 billion economic- stimulus package and efforts to modify homeowners' mortgages -- would help soften the housing-market correction. But he warned that ""those programs alone will not be sufficient . . . . It's going to take time and some pain before we work through this."" Mr. Paulson urged action on legislation to overhaul the Federal Housing Administration and government-sponsored Fannie Mae and Freddie Mac, and, in response to questions, said the administration is willing to consider other housing-related proposals.</br></br>The Federal Reserve has slashed the target for its benchmark federal-funds rate to 3% from 5.25% last summer. Futures markets expect the Fed to lower interest rates half a point March 18. Traders put one-in-three odds on a three-quarter percentage point cut. The market odds remained largely unchanged yesterday by Mr. Bernanke's testimony.</br></br>Mr. Bernanke, who is likely to elaborate on the Fed's views when he delivers his semiannual report to Congress later this month, said market worries about mortgage defaults and the ripple effects of bond insurers' woes are contributing to tighter lending standards. ""More- expensive and less-available credit seems likely to continue to be a source of restraint on economic growth,"" Mr. Bernanke said. Declining home values and a softening labor market -- along with higher energy costs and lower equity prices -- are likely to affect consumer spending, he added."
no,wsj_1033163968,08-02-2012,Remember Managed Care? It's Quietly Coming Back,"Under pressure to squeeze out costs, some of the U.S.'s biggest health insurers are quietly erecting more hurdles for patients seeking medical care.</br></br>The companies are in many cases reaching back to the 1990s and boosting the use of techniques that antagonized patients and doctors alike.</br></br>Today's approaches are tweaked, but may feel familiar to many: Insurers are rolling out plans with more restricted choices of doctors and hospitals, and weighing new requirements for referrals before patients can see specialists.</br></br>UnitedHealth Group Inc., Cigna Corp. and others are increasingly requiring doctors to get prior authorization before patients can get certain care such as spinal surgeries.</br></br>Earlier versions of these practices were closely identified with the managed-care era of the 90s. They later receded in many parts of the country, as employers switched away from restrictive health-maintenance organizations, and insurers backed off some limits."
no,wsj_398057944,11/25/87,"Dollar Rallies On Rate Cuts, Then Slips Back --- Sell-Off, After Reductions In Fees by Europeans, Reinforces Bearish View","Interest-rate cuts in Europe sparked a brief dollar rally yesterday, but a subsequent wave of sell orders left the U.S. currency down slightly for the day.</br></br>The dollar's inability to hold onto its gains reinforced the market's bearish sentiment on the U.S. currency, traders said. ""Everybody took advantage of the stronger dollar to sell,"" Keiichi Udagawa, chief trader at Bank of Tokyo Ltd.'s New York agency, said.</br></br>Traders attributed the dollar sell-off to disappointment with the deficit-reduction plan reached by White House and congressional negotiators Friday and the continuing large U.S. trade deficits.</br></br>""The disappointment in the budget package and its lukewarm reception is hanging over the dollar and preventing it from moving up dramatically,"" Ronald H. Holzer, vice president and chief dealer at Harris Trust & Savings Bank, Chicago, said.</br></br>The negotiators' plan to cut the budget deficit in the current fiscal year by $30 billion still requires final approval by Congress."
yes,wsj_398874509,7/22/04,WSJ(7/22) UPDATE: Bush Panel Wins Points On Benefits Plan,"(From THE WALL STREET JOURNAL)</br></br>By John D. McKinnon</br></br>WASHINGTON -- Congressional budget analysts gave passing marks to two of the leading plans for restoring Social Security solvency through private accounts, including one proposed by a panel set up by President Bush.</br></br>The findings by the Congressional Budget Office showed that the Bush panel's plan would produce sharp reductions in benefits by the middle of the century, and also would create huge costs for the government in the meantime, but would eventually put Social Security back on track toward long-term solvency. The analysis, which was requested by several lawmakers studying Social Security's financial problems, suggests that the Bush plan is so effective in reducing benefit costs that backers could afford to ease up a little.</br></br>Democrat John Kerry's camp wasted little time in attacking Mr. Bush over the CBO report, focusing on the big cost to the federal government of setting aside a portion of payroll taxes to set up the private investment accounts. ""The president is about to start touting his proposal for the 'ownership society,' but the CBO analysis shows it's more like a debt society,"" said Kerry economic adviser Jason Furman. ""Its biggest impact is to increase debt by trillions of dollars . . . damaging our long-run budget outlook."""
no,wsj_398899948,6/25/04,"Moving the Market -- Tracking the Numbers / Outside Audit: Stock Options: Fewer but Better?; Yes, They May Be Harder To Come By for the CEOs, But Existing Ones Pay Off","Dow Jones Newswires</br></br>LESS, BUT more.</br></br>Even though U.S. companies were cutting back on stock-option grants to top brass last year, chief executives still were making out handsomely, because the market value of their existing options soared.</br></br>A review of a new crop of U.S. proxy filings by Watson Wyatt Worldwide, a Washington, D.C., consulting firm, lends fresh support to recent trends in compensation, including the escalation of restricted stock awards to compensate CEOs, while companies simultaneously scale back on stock options.</br></br>The firm reviewed proxies of 373 companies where CEOs remained in their jobs over a three-year period. The most recent proxies were filed through the end of March, covering companies whose fiscal years ended between September 2003 and January 2004."
no,wsj_398074050,01-05-1987,Will This Month Foretell What Stocks Do in '87?,"According to stock-market lore, this is a special month -- a month when the market's movement usually predicts its direction for the entire year. But should an investor bet money on it?</br></br>Veteran market commentator Yale Hirsch, who coined the term ""January barometer,"" says the indicator deserves serious consideration. ""It's just incredible how the January barometer has consistently predicted the annual course of the stock market since 1950,"" he writes in the 1987 edition of his annual Stock Trader's Almanac. ""I know of no other indicator that comes within a country mile of matching (its) forecasting record.""</br></br>Mr. Hirsch points out that since 1950 there have been 19 Januarys in which the Standard & Poor's 500 index rose by more than 1%. In all 19 cases, he says, the increase was followed by a gain in the S&P for the entire year, ranging from a low of 9.1% in 1965 to a high of 45% in 1954. The barometer, he argues, has predicted almost all major advances and declines.</br></br>But the critics aren't impressed. As they see it, the January barometer is nothing more than an old wives' tale.</br></br>""The market itself has been in a strong upward trend for the past 70 years,"" observes Mark Hulbert, editor of the Hulbert Financial Digest newsletter. As a result, the odds are that any given January will show gains, and so will any given year. So it's hardly surprising, Mr. Hulbert says, that January seems ""to have a good record as a bullish indicator."""
no,wsj_397957956,5/22/84,"REGIONS: Texan Envisions U.S., Mexico Starting a 'Productivity Zone'","MENTION THE ECONOMIC SUCCESS of Hong Kong, South Korea or Singapore, and most business executives shake their heads in envy. Gary Jacobs of Laredo, Texas, is different. He gets angry. ""As an American living on the Mexican border, I don't feel I owe Asia a damn thing. Nothing. But I do feel I owe Mexico something,"" he says.</br></br>Mr. Jacobs thinks it's time the U.S. and Mexico joined forces and started slugging for more of the high-quality, low-cost goods that have been flowing from Asian factories to consumers the world around. And he has a plan.</br></br>He envisions a ""border productivity zone"" on U.S. soil where companies could churn out products for the domestic and export markets using mostly Mexican labor and energy. An ideal site, he suggests, is his own impoverished city of Laredo (pop. about 99,000), which slumbers beside the Rio Grande, 140 miles south, but a high-tech world apart, from booming San Antonio. In the 1980 census, Laredo had the lowest per-capita income, $3,980, of any U.S. metropolitan area. The unemployment rate is now 21%. The city's population is 93% Mexican-American.</br></br>As it happens, Mr. Jacobs could also help investors line up financing for projects in the proposed manufacturing zone. He is president of Laredo National Bank, which, with assets of $825 million, is the largest bank in this desolate stretch of south Texas.</br></br>MR. JACOBS'S PLAN is a close cousin to a long-running U.S.-Mexican program known as the ""twin plant,"" or maguila program. Since 1965, Mexico has allowed 100% foreign-owned companies to set up factories and import raw materials duty free, provided the finished products are reexported. At last count, some 130,000 Mexicans were working in about 600 ""maguiladoras,"" most of them along the 1,800-mile border, producing everything from trousers to electronic toys and earning about $1 billion annually for Mexico's beleaguered treasury."
no,wsj_398830027,4/16/03,`Tough' Cop for Accounting Beat,"THE SECURITIES AND Exchange Commission named William J. McDonough to head the new accounting oversight board, installing a veteran regulator with a reputation for integrity to shape up the battered accounting industry.</br></br>Mr. McDonough, currently president of the Federal Reserve Bank of New York, said he plans to step down from that post as soon as he passes a background check and is formally appointed by the SEC.</br></br>In choosing Mr. McDonough, the SEC has picked a Democrat who is known as a tough negotiator willing to push people to get them to come to consensus on issues. In 1998, Mr. McDonough helped to orchestrate the controversial Wall Street bailout of Long-Term Capital Management, a large hedge fund whose collapse threatened global financial stability. He has also been an outspoken critic of lavish executive pay packages.</br></br>Mr. McDonough will be paid handsomely in his new post, earning an annual salary of $556,000. That may be modest compared with the pay packages of many top accounting executives, but it's one of Washington's biggest salaries; Mr. McDonough's salary at the New York Fed was $313,300 in 2002. In exchange, Mr. McDonough must give up all ties to the public and private sectors, including his nomination to sit on the board of the New York Stock Exchange.</br></br>""Bill appreciates deeply the need to restore public confidence in our capital markets, and he's willing to take tough positions,"" said Peter Peterson, chairman of the Federal Reserve Bank of New York."
yes,wsj_1450162485,11/13/13,"U.S. News: For Yellen, Fed's Dual Mandate Guides Thinking","When senators question Janet Yellen on Thursday during her confirmation hearing to be the next leader of the Federal Reserve, she will likely turn their attention to the central bank's ""dual mandate"" of maximum employment and stable prices.</br></br>Ms. Yellen has made this mandate the centerpiece of her argument for the Fed's unconventional easy-money programs aimed at spurring a stronger economic recovery and lowering unemployment, a point her recent comments suggest she will seek to reinforce.</br></br>""While we have made progress, we have further to go,"" Ms. Yellen said of the Fed's role in helping the economy when President Barack Obama named her as his pick last month. ""The mandate of the Federal Reserve is to serve all the American people, and too many Americans still can't find a job and worry how they'll pay their bills,"" she said, adding that the Fed can also ensure inflation doesn't undermine ""the benefits of a growing economy.""</br></br>The Fed's dual mandate was established in 1977, when Congress wrote into the Federal Reserve Act that the central bank must pursue both maximum employment and stable prices.</br></br>It is a controversial requirement in political circles because some Republicans think the employment component has taken the Fed's focus off the more important and achievable mission of low inflation. It is also unlike the mission of many other central banks, for which controlling inflation is the sole focus."
yes,wsj_398931372,08-10-2001,Bush Needs a Pro-Growth Agenda -- ASAP,"The failure of the White House to promote an aggressive economic recovery plan may severely imperil GOP chances of holding on to the House and taking back control of the Senate in 2002. As economist Larry Kudlow points out, we are now officially in a private-sector recession (two straight quarters of no growth in the economy outside of government). A weak economy in 2002 will mean major and potentially catastrophic GOP losses at the polls in the crucial midterm elections.</br></br>Yet ever since the passage of the president's tax cut back in June, the GOP's legislative momentum has slammed nose first into a concrete wall erected by Tom Daschle and Dick Gephardt. Virtually every bill that now is speeding through Congress is a growth depressant. The legislative docket is filled with financially bearish legislation -- to wit, the patients' bill of rights (which will cause a rash of lawsuits and enrich the trial lawyers); the Medicare prescription drug benefit (which could cost taxpayers $300 billion over the next 10 years); the farm bill (which would give away record subsidies to the agri-business industry); and the appropriations bills (that could allow spending to grow by 8% or 9% this year). President Bush should announce that he will veto any or all of these until the economy recovers.</br></br>This is America's first New Economy recession. American investors, of all incomes, have lost an unprecedented $4 to $5 trillion in wealth in the past 18 months. There's no reassuring market signal that these losses will be recouped anytime soon and there's certainly little federal action to revive growth. These enormous wealth losses have not yet punctured consumer confidence or spending, and they have not caused many net job losses. Nor have real estate values taken a hit. Not yet, at least.</br></br>We are surfing uncharted waters. This recession is driven by a drought in investment, not a conventional drought in consumption. High risk capital investment funding -- one of the driving forces behind the powerful expansion of the mid- and late-1990s -- has dried up. Venture capital funding is down more than 50% so far this year and the IPO market is moribund.</br></br>Over the past several weeks, the White House proclamations on the economy by Larry Lindsey and Treasury Secretary Paul O'Neill have been mostly happy talk about recovery by the end of the year. Let's hope they're right. But what if they're not? Where is the economic and political contingency plan? A pep talk is not enough to rescue the economy from its doldrums. True, many Wall Street economists are also predicting a resumption of growth soon, but they have been totally wrong in predicting the direction of the economy and stock market over the past several years, so their confidence is actually discouraging."
yes,wsj_812121520,11/26/10,There's No Escaping Hauser's Law,"Even amoebas learn by trial and error, but some economists and politicians do not. The Obama administration's budget projections claim that raising taxes on the top 2% of taxpayers, those individuals earning more than $200,000 and couples earning $250,000 or more, will increase revenues to the U.S. Treasury. The empirical evidence suggests otherwise. None of the personal income tax or capital gains tax increases enacted in the post-World War II period has raised the projected tax revenues.</br></br>Over the past six decades, tax revenues as a percentage of GDP have averaged just under 19% regardless of the top marginal personal income tax rate. The top marginal rate has been as high as 92% (1952-53) and as low as 28% (1988-90). This observation was first reported in an op-ed I wrote for this newspaper in March 1993. A wit later dubbed this ""Hauser's Law.""</br></br>Over this period there have been more than 30 major changes in the tax code including personal income tax rates, corporate tax rates, capital gains taxes, dividend taxes, investment tax credits, depreciation schedules, Social Security taxes, and the number of tax brackets among others. Yet during this period, federal government tax collections as a share of GDP have moved within a narrow band of just under 19% of GDP.</br></br>Why? Higher taxes discourage the ""animal spirits"" of entrepreneurship. When tax rates are raised, taxpayers are encouraged to shift, hide and underreport income. Taxpayers divert their effort from pro-growth productive investments to seeking tax shelters, tax havens and tax exempt investments. This behavior tends to dampen economic growth and job creation. Lower taxes increase the incentives to work, produce, save and invest, thereby encouraging capital formation and jobs. Taxpayers have less incentive to shelter and shift income.</br></br>On average, GDP has grown at a faster pace in the several quarters after taxes are lowered than the several quarters before the tax reductions. In the six quarters prior to the May 2003 Bush tax cuts, GDP grew at an average annual quarterly rate of 1.8%. In the six quarters following the tax cuts, GDP grew at an average annual quarterly rate of 3.8%. Yet taxes as a share of GDP have remained within a relatively narrow range as a percent of GDP in the entire post-World War II period."
yes,wsj_398161621,08-07-1989,"Nonfarm Sector Added 169,000 Workers in July --- Gain May Indicate U.S. Still Is Safe From Recession; Jobless Rate Falls 0.1%","WASHINGTON -- The considerable growth in new jobs throughout the economy suggests the U.S. is still safe from recession, many economists say.</br></br>American businesses outside the farm sector added 169,000 new workers to their payrolls last month, with gains in construction, manufacturing and service industries, the Labor Department reported. The department also made a huge revision to its calculation of job growth for June. Employers added 250,000 new employees during the month, it said, many more than the 180,000 originally estimated.</br></br>The nation's civilian unemployment rate declined 0.1 percentage point in July, to 5.2%, holding the jobless rate in a range that hasn't been seen since the mid-1970s.</br></br>""It clearly allays fears of a recession,"" said Robert Giordano, co-director of economic research at Goldman, Sachs & Co. in New York.</br></br>""There was very little that was bearish in this report,"" added Norman Robertson, chief economist at Mellon Bank in Pittsburgh."
